5/7/2021 9:09,Network Categories,,,,,
,,,,,,
Enterprise Geodatabase,file:///C:/Users/mike/AppData/Local/Temp/ArcGISProTemp56640/cb2ab6ec990ede1a3d3c83d65b4c1634.sde,,,,,
Utility Network Name,meh.unadmin.ElectricUN,,,,,
Utility Network Release,3,,,,,
ArcGIS Pro Version,2.7.0.0,,,,,
,,,,,,
,,,,,,
Network Categories,,,,,,
,Attribute Substitution,,,,,
,E:Commercial Load,,,,,
,E:Customer Load,,,,,
,E:Disconnect,,,,,
,E:Distributed Generation,,,,,
,E:Distribution Transformer,,,,,
,E:Generation,,,,,
,E:Ground,,,,,
,E:High to Medium Voltage Cable,,,,,
,E:High Voltage Cable,,,,,
,E:Industrial Load,,,,,
,E:Load,,,,,
,E:Load Break,,,,,
,E:Low Voltage Cable,,,,,
,E:Medium to Low Voltage Cable,,,,,
,E:Medium Voltage Cable,,,,,
,E:Overhead,,,,,
,E:Overhead Dead End,,,,,
,E:Power Transformer,,,,,
,E:Protective,,,,,
,E:Reactive Power,,,,,
,E:Reclosing,,,,,
,E:Residential Load,,,,,
,E:Sectionalizing,,,,,
,E:Station,,,,,
,E:Step Transformer,,,,,
,E:Submersible,,,,,
,E:Switching,,,,,
,E:Underground,,,,,
,E:Utility Load,,,,,
,E:Voltage Regulation,,,,,
,Subnetwork Controller,,,,,
,Subnetwork Tap,,,,,
,,,,,,
Assignments,NetworkCategory,ClassName,AssetGroupCode,AssetGroup,AssetTypeCode,AssetType
,Attribute Substitution,meh.unadmin.ElectricJunction,5,Low Voltage Connection Point,82,Overhead Tap
,Attribute Substitution,meh.unadmin.ElectricJunction,8,Medium Voltage Connection Point,82,Overhead Tap
,Attribute Substitution,meh.unadmin.ElectricJunction,9,Medium Voltage Line End,101,Underground Terminator
,Attribute Substitution,meh.unadmin.ElectricJunction,9,Medium Voltage Line End,102,Overhead Wire Change
,Attribute Substitution,meh.unadmin.ElectricJunction,9,Medium Voltage Line End,103,Riser
,Attribute Substitution,meh.unadmin.ElectricJunction,9,Medium Voltage Line End,160,Busbar Terminator
,Attribute Substitution,meh.unadmin.ElectricJunction,9,Medium Voltage Line End,164,Underground Wire Change
,E:Commercial Load,meh.unadmin.ElectricDevice,22,Low Voltage Service,421,Single Phase Commercial
,E:Commercial Load,meh.unadmin.ElectricDevice,22,Low Voltage Service,423,Three Phase Commercial
,E:Commercial Load,meh.unadmin.ElectricAssembly,17,Medium Voltage Service Bank,281,PM Commercial Customer
,E:Customer Load,meh.unadmin.ElectricDevice,9,High Voltage Service,161,AC Metering
,E:Customer Load,meh.unadmin.ElectricDevice,9,High Voltage Service,162,DC Metering
,E:Customer Load,meh.unadmin.ElectricDevice,22,Low Voltage Service,421,Single Phase Commercial
,E:Customer Load,meh.unadmin.ElectricDevice,22,Low Voltage Service,422,Single Phase Residential
,E:Customer Load,meh.unadmin.ElectricDevice,22,Low Voltage Service,423,Three Phase Commercial
,E:Customer Load,meh.unadmin.ElectricDevice,22,Low Voltage Service,424,Three Phase Residential
,E:Customer Load,meh.unadmin.ElectricDevice,36,Medium Voltage Service,701,Primary Meter - Industrial Customer
,E:Customer Load,meh.unadmin.ElectricDevice,36,Medium Voltage Service,702,Primary Meter - Utility Customer
,E:Customer Load,meh.unadmin.ElectricAssembly,3,High Voltage Service Bank,41,Industrial Customer
,E:Customer Load,meh.unadmin.ElectricAssembly,3,High Voltage Service Bank,42,Utility Customer
,E:Customer Load,meh.unadmin.ElectricAssembly,17,Medium Voltage Service Bank,281,PM Commercial Customer
,E:Customer Load,meh.unadmin.ElectricAssembly,17,Medium Voltage Service Bank,282,PM Industrial Customer
,E:Customer Load,meh.unadmin.ElectricAssembly,17,Medium Voltage Service Bank,283,Primary Meter
,E:Customer Load,meh.unadmin.ElectricAssembly,17,Medium Voltage Service Bank,284,Residential
,E:Disconnect,meh.unadmin.ElectricDevice,37,Medium Voltage Switch,726,Overhead Jumper
,E:Disconnect,meh.unadmin.ElectricDevice,37,Medium Voltage Switch,728,Overhead Single Phase Disconnect
,E:Disconnect,meh.unadmin.ElectricDevice,37,Medium Voltage Switch,732,Overhead Three Phase Disconnect
,E:Disconnect,meh.unadmin.ElectricDevice,37,Medium Voltage Switch,755,Underground Single Phase Disconnect
,E:Disconnect,meh.unadmin.ElectricDevice,37,Medium Voltage Switch,759,Underground Three Phase Disconnect
,E:Disconnect,meh.unadmin.ElectricAssembly,11,Low Voltage Switch Bank,181,Overhead AC Disconnect
,E:Disconnect,meh.unadmin.ElectricAssembly,11,Low Voltage Switch Bank,183,Overhead DC Disconnect
,E:Disconnect,meh.unadmin.ElectricAssembly,11,Low Voltage Switch Bank,185,Underground AC Disconnect
,E:Disconnect,meh.unadmin.ElectricAssembly,11,Low Voltage Switch Bank,187,Underground DC Disconnect
,E:Disconnect,meh.unadmin.ElectricAssembly,11,Low Voltage Switch Bank,189,Indoor AC Disconnect
